Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,2/14/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,2/14/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,2/14/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,4,Early & Middle,2/14/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,5,Early & Middle,2/14/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,6,Early & Middle,2/14/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,7,Early & Middle,2/14/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,8,Early & Middle,2/14/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,9,Early & Middle,2/14/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,10,Early & Middle,2/14/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,11,Early & Middle,2/14/2018
,,9781338267105,19.99,British Library,Harry Potter: A Journey Through a History of Magic,12,Early & Middle,2/14/2018
,,9780061992278,7.99,Katherine Applegate & Patricia Castelao (Illus.),The One and Only Ivan,13,Early & Middle,2/14/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,14,Early & Middle,2/14/2018
,,9780545880831,16.99,Alan Gratz,Refugee,15,Early & Middle,2/14/2018
,1,9780312577230,28.99,Kristin Hannah,The Great Alone,1,Hardcover Fiction,2/14/2018
,1,9781616201340,26.95,Tayari Jones,An American Marriage,2,Hardcover Fiction,2/14/2018
1,6,9780062678416,26.99,A.J. Finn,The Woman in the Window,3,Hardcover Fiction,2/14/2018
3,75,9780670026197,27,Amor Towles,A Gentleman in Moscow,4,Hardcover Fiction,2/14/2018
2,5,9780735213180,26,Chloe Benjamin,The Immortalists,5,Hardcover Fiction,2/14/2018
5,22,9780735224292,27,Celeste Ng,Little Fires Everywhere,6,Hardcover Fiction,2/14/2018
4,19,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",7,Hardcover Fiction,2/14/2018
6,2,9780399562457,27,Jojo Moyes,Still Me,8,Hardcover Fiction,2/14/2018
7,19,9780385514231,29.95,Dan Brown,Origin,9,Hardcover Fiction,2/14/2018
8,5,9781250130921,26.99,Greer Hendricks,The Wife Between Us,10,Hardcover Fiction,2/14/2018
9,6,9780316547611,26,Naomi Alderman,The Power,11,Hardcover Fiction,2/14/2018
13,16,9780385541176,28.95,John Grisham,The Rooster Bar,12,Hardcover Fiction,2/14/2018
11,13,9780553448122,27,Andy Weir,Artemis,13,Hardcover Fiction,2/14/2018
10,19,9781476716732,27,Jennifer Egan,Manhattan Beach,14,Hardcover Fiction,2/14/2018
,1,9780525520269,27.95,Robert Harris,Munich,15,Hardcover Fiction,2/14/2018
1,6,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,2/14/2018
